artifact_id;looted_text;wb_txt_shrt;wb_txt_lg;wb_txt_shrt_dist;wb_txt_lgidst
31-آثارنا المنهوبة_31_p036_224b2bc3;"Necklace, gold, formed as a spiraled wire with a central pendant representing the head of a hollow bull with short horns; on either side are two beads of planned faith, separated from the pendant by gold rings. Third century BC. Length: 5.15 cm.";Necklace, gold. Formed of a chain in two parts of braided gold wires supporting a pendant in the form of a bull’s head, flanked by two banded agate beads. Length: 51.5 cm.;Necklace, gold. Formed of a chain in two parts of braided gold wires supporting a pendant in the form of a bull’s head, flanked by two banded agate beads. The necklace has a total length of 51.5 cm. The description identifies the object as an archaeological necklace composed of gold wire elements and decorated with a central bull-head pendant and two banded agate beads.;0,077031016;0,074470878
0-آثارنا المنهوبة_25_p096_ca1b4fa3;Head, material not specified. The head of a human statue.;Head, alabaster, South Arabian, ca. L: 70 mm, W: 50 mm.;Head, alabaster, South Arabian, ca. L: 70 mm and W: 50 mm. The object is identified as a head and is made of alabaster. No further typological, contextual, or chronological information is provided in the source text beyond the South Arabian attribution and approximate size.;0,153331697;0,313127637
31-آثارنا المنهوبة_31_p023_42ffe533;Object, material not specified, with dimensions 3.5 x 25.5.;Stela, stone, inscribed with the name of the deceased. This large inscribed stela was probably set into the ground at the place where the body lay.;Stela, stone, large inscribed monument bearing the name of the deceased. The object is described as probably having been set into the ground at the very spot where the body rested. No further technical details, dimensions, or dating are provided in the source text.;0,17574054;0,286761045
0-آثارنا المنهوبة_25_p048_04475953;Object, material not specified, with recorded dimensions of 17.4, 13.9, 11.8, 11.3, 11.3, 7.5, and 8 cm.;Shallow bowl, silver, 17.4 cm in diameter, with concentric circles and an inscription on the external rim, in very good condition. Silver goblet, 7.5 cm high, with an inscription on the internal rim, in very good condition.;Shallow bowl, silver, 17.4 cm in diameter, decorated with concentric circles and inscribed on the external rim, in very good condition. Silver goblet, 7.5 cm high, inscribed on the internal rim, in very good condition.;0,186449111;0,269451976
0-آثارنا المنهوبة_5_p004_b5ff189c;"Statue head, stone, of a male figure with a clearly modeled face and distinct eyes; carved in stone, from the southern Arabian Peninsula (ancient Yemen), dated to the 3rd century B.C.E., and measuring almost 20 cm in height.";"Head of a statue, alabaster, South Arabian, H. 14 cm. Male head with the bridge of the nose continuing into the eyebrows; the pupils are engraved. The beard and moustache are indicated by stippling, and the coiffure, probably in stucco, was added separately.";Head of a statue, alabaster, South Arabian, height 14 cm. The object is a male head from a statue, with the bridge of the nose continuing into the eyebrows and the pupils of the eyes engraved. The beard and moustache are rendered by stippling. The coiffure, probably made of stucco, was applied separately. The description identifies the piece as a South Arabian alabaster head of a man.;0,193883896;0,168464243
0-آثارنا المنهوبة_25_p043_e92bb9bc;"Animal statue, bronze, depicting a camel with a hard head, a slight mid-back hump, and a strapped small tail behind the hind legs. Metal. Dimensions: 10.2 cm x 9 cm (4 x 3.55 in); additional measurement given as 3.9 in (9.9 cm). Early millennium BCE.";"Statuette, cast bronze, of a camel with an erect head and neck, a slight hump, and a friendly face with large round eyes. Ancient South Arabia, Yemen; size 4 in. W x 3.55 in. H (10.2 cm x 9 cm).";Statuette, cast bronze, representing a camel with an erect head and neck, a slight hump, and a face with large round eyes. The object is described as from Ancient South Arabia, Yemen. Dimensions are given as 4 in. wide by 3.55 in. high (10.2 cm x 9 cm).;0,195921659;0,150884509
0-آثارنا المنهوبة_10_p095_f45e4544;"Plaque, bronze, engraved with seven lines of text on the surface; rectangular form, measuring 14 × 11 in. (36 × 28 cm); dated to the 1st–2nd century BC.";"Plaque, bronze. South Arabian bronze votive plaque, framed with a raised flat border and inscribed with seven lines of Qatabanian script mentioning a dedication of bronze. Circa 1st-2nd century B.C.; 14¼ in x 11 in (36 cm x 28 cm).";Plaque, bronze. South Arabian bronze votive plaque, framed with a raised flat border and inscribed with seven lines of Qatabanian script. The inscription mentions a dedication of bronze and refers to the plaque itself. The object is dated to circa 1st-2nd century B.C. Dimensions are 14¼ in x 11 in (36 cm x 28 cm).;0,196667433;0,199294567
0-آثارنا المنهوبة_21_p002_6e218938;Candlestick, copper alloy, large candlestick of sect form, commissioned by a man of the legal tiles of Solomon, Turkey, Ottoman. Dated to the month of Al-Hajjay 945 AH / May 1539 CE. Height 47.5 cm.;"Candlestick, gilt-copper (tombak), Ottoman, Turkey, dated Dhu'l-Hijja 945 AH/May 1539 AD. The large truncated conical body is surmounted by a flat drip tray, with a tall ridged cylindrical neck and tapered ridged candle holder; the base of the body bears a finely engraved thuluth inscription.";"Candlestick, gilt-copper (tombak), Ottoman, Turkey, dated Dhu'l-Hijja 945 AH/May 1539 AD. The object has a large truncated conical body surmounted by a flat drip tray, a tall ridged cylindrical neck, and a tapered ridged candle holder. The base of the body is engraved with a thuluth inscription recording the endowment of the candlestick by Usta Ibrahim, described as the head cauldron maker and servant of Sultan Suleyman Khan, to the ""tomb of His Holiness the Sultan of Prophets."" The inscription gives the date as the middle of Dhu'l-Hijja 945 AH, corresponding to May 1539 AD. The text identifies the object as an Ottoman courtly metalwork piece associated with Suleyman the Magnificent.";0,198769569;0,251960278
0-آثارنا المنهوبة_22_p008_e6f7e902;"Manuscript, paper, Hebrew and Arabic, Yemen, 19th century. The page describes three Yemeni manuscripts listed under this number at auction: a Hebrew manuscript with instructions and comments in the margins; a manuscript with Arabic instructions and a colophon on the last page; and a manuscript described as an Easter text with a Jewish translation into Arabic. All are on paper and dated to the 19th century.";"Three manuscripts, Passover Haggadah, Yemenite, handwritten on paper, including one with instructions and commentaries on the margins, some with nikud elyon, and one with Judeo-Arabic translation. Size and condition vary; overall fair condition.";"Three manuscripts, Passover Haggadah, Yemenite, handwritten on paper. The group includes a manuscript described as ""A nice bakashah, praise to the King…"", by Rabbi Yitzchak ben Yefet, with instructions and commentaries on the margins, some with nikud elyon; a second handwritten Haggadah; and a third manuscript, Passover Haggadah, with Judeo-Arabic translation, lacking at the beginning and at the end. Size and condition vary, with overall fair condition.";0,201327622;0,210799932
0-آثارنا المنهوبة_5_p001_6d116178;Statue, bronze, of a standing man in motion, with a clear face, muzzle, hair, wrinkle, and sailor attributes as described in the source text. The object is recorded as missing. It is dated to the second century BCE and attributed to the southern Arabian Peninsula (old Yemen). Dimensions: 13.5 cm long.;Statuette votive en bronze représentant un dignitaire debout, vêtu d'un long pagne et tenant une longue canne de la main gauche. La coiffure est formée de courtes mèches. H. 13,5 cm.;Statuette votive en bronze représentant un dignitaire debout, de type sud-arabique, vêtu d'un long pagne et tenant une longue canne de la main gauche. La coiffure est formée de courtes mèches. L'objet mesure 13,5 cm de hauteur.;0,202316284;0,194164753
