,artifact_id,pdf_name,page_num,numero_inventaire,type,description_texte_long,materiel,periode,dimensions,nom_musee_auction,etat,note,text_for_matching,id_page,upgr_desc
0,0-آثارنا المنهوبة_18_p001_593cd272,0-آثارنا المنهوبة_18.pdf,1,,سيف,سيف من مادة البرونز على مقبضه كتابة بخط المسند البارز، يغطي أجزاء من مقبضه قطع ذهبية,البرونز,,,سوق حزم الجوف,منهوب,," A sword. A blade of bronze on his handle, written in line with the prominent pavilion, covers parts of his handle, gold pieces. The bronze. The Hollow Packing Market. Defiled.",,
1,0-آثارنا المنهوبة_18_p001_669d467d,0-آثارنا المنهوبة_18.pdf,1,,تمثال آدمي,تمثال آدمي من حجر الكلس بوضعية الجلوس واليدين في حالة ضم، باإلضافة إلى خاتم من البرونز,حجر الكلس,,,سوق حزم الجوف,منهوب,باإلضافة إلى خاتم من البرونز," A human statue. A human statue of limestone in a sit-down position and hands in a state of annexation, plus a bronze ring. The limestone. The Hollow Packing Market. Defiled.",,
2,0-آثارنا المنهوبة_18_p002_6dd48f0e,0-آثارنا المنهوبة_18.pdf,2,,تمثال آدمي,تمثال آدمي من حجر المرمر (الرخام)، بوضعية الوقوف يغطي جسده رداء منسدل لأعلى، اليدين ممدودتين للأمام، يقف التمثال على قاعدة مستطيلة من نفس حجر التمثال، عليها أحرف بخط المسند.,حجر المرمر (الرخام),,,المعروضة للبيع في سوق حزم الجوف,منهوبة,عليها أحرف بخط المسند.,"A human statue. A human statue from the marble stone, with a standing position covering his body with a hooded robe up, hands reaching forward, the statue standing on a rectangular base from the same stone of the statue, with letters in the letterhead. Marblestone.",,
3,0-آثارنا المنهوبة_18_p002_ae943cdb,0-آثارنا المنهوبة_18.pdf,2,,قنينة,قنينة من البرونز ذات درجة شفافية عالية، أسفلها بيضاوي متسع يعلوها عنق اسطواني طويل ينتهي بفوهة مقلوبة للخارج.,البرونز,,,المعروضة للبيع في سوق حزم الجوف,منهوبة,," . A bottle. A bottle of high-transparency bronze, with a wide oval underneath, with a long cylindrical neck that ends up with a back-to-the-out nozzle. The bronze. It's for sale at the Hollow Packing Market. Loosened.",,
4,0-آثارنا المنهوبة_18_p003_84275417,0-آثارنا المنهوبة_18.pdf,3,,قرط,قرط من الذهب ذو شكل نصف دائري، محاط بصفين من الحبيبات الصغير المتالصقة، يتوسطهما صفين من الحلقات الصغيرة.,الذهب,,,سوق حزم الجوف,منهوب من المواقع الأثرية، معروض للبيع,," . An earring. A half-circular-shaped gold earring, surrounded by two rows of sticky little girlfriends, mediated by two rows of little rings. Gold.",,
5,0-آثارنا المنهوبة_18_p003_fc5fac26,0-آثارنا المنهوبة_18.pdf,3,,أوانٍ,ثلاث أواني من حجر المرمر (الرخام)، مخروطية الشكل، أحدها ذات مقبض صغير مثقوب والأخرى ذات غطاء بمقبص صغير مثقوب هو الآخر.,حجر المرمر (الرخام),,,سوق حزم الجوف,منهوبة من المواقع الأثرية، معروضة للبيع,مجموعة من ثلاثة أوانٍ.,"Time. Three pots of marble stone, cone-shaped, one with a small punctured handle and the other with a small pierced socket. Marblestone.",,
6,0-آثارنا المنهوبة_18_p004_4f27afc0,0-آثارنا المنهوبة_18.pdf,4,,تمثال صغير لحيوان أبو الهول,تمثال صغير لحيوان أبو الهول، من الحجر الجيري، برأس آدمي وجسد حيوان، يعلو الرأس ما يشبه لطائر، والتمثال يقف على قاعدة مستطيلة الشكل من نفس حجر التمثال.,الحجر الجيري,,,المعروضة للبيع في سوق حزم الجوف,,," . A little sphinx statue. A small statue of the sphinx, of the limestone, of the human head and body of an animal, of the head above what looks like a bird, and the statue stands on a rectangular base of the same stone of the statue. The limestone.",,
7,0-آثارنا المنهوبة_18_p004_094231c0,0-آثارنا المنهوبة_18.pdf,4,,مبخرة اسطوانية الشكل,مبخرة اسطوانية الشكل من حجر المرمر (الرخام)، على عنقها من أسفل حزامين زخرفيين بارزين، والمبخرة تعاني من عدة كسور في الفوهة والقاعدة.,حجر المرمر (الرخام),,,المعروضة للبيع في سوق حزم الجوف,تعاني من عدة كسور في الفوهة والقاعدة,,"Cylon-shaped vapor. Cylinder-shaped marble stone, on its neck from the bottom of two prominent decorative belts, and the vapor has several fractures in the crater and base. Marblestone. It's for sale at the Hollow Packing Market.",,
8,0-آثارنا المنهوبة_18_p005_c7e7b78a,0-آثارنا المنهوبة_18.pdf,5,,مائدة قرابين صغيرة,مائدة قرابين صغيرة الحجر، من حجر المرمر (الرخام)، تقف على أربع أرجل، يوجد زخرفة على شكل خطوط عمودية على جوانبها، وعلى سطحها من الأركان أربع حفر دائرية الشكل.,حجر المرمر (الرخام),,,سوق حزم الجوف,,معروضة للبيع في سوق حزم الجوف.,"A little round table. A small stone cork table, a marble stone, stands on four legs, with a decorator in the shape of vertical lines on its sides, with four round-shaped pits on its surface. Marblestone.",,
9,0-آثارنا المنهوبة_18_p005_2c734e86,0-آثارنا المنهوبة_18.pdf,5,,مسحقة,مسحقة مربعة الشكل من حجر المرمر (الرخام)، تقف على أربع أرجل، يتوسط كل جانب من جوانبها الأربعة حفر أفقي غائر، كما يتوسط سطحها حفرة غائرة مستديرة الشكل، كانت بالغالب تستخدم لسحق مواد الطيب والتجميل أو المواد الطبية.,حجر المرمر (الرخام),,,سوق حزم الجوف,,معروضة للبيع في سوق حزم الجوف.,"A powder. A square-shaped powder of marble stone, standing on four legs, each of its four sides mediating deep horizontal pits, as well as a round-shaped ditch, which was mostly used to crush good, beautiful or medical materials. Marblestone.",,
