id;object_type;object_materials;sending_country;receiving_country;year_returned;year_acquired;date_looted
910;Sculpture;Marble;USA;Italy;2006.0;1992.0;
913;Vessel;Ceramic;USA;Italy;2012.0;1986.0;
916;Sculpture;Bronze;USA;Italy;2010.0;;1980.0
917;Vessel;Ceramic;USA;Italy;2008.0;1977.0;
920;Vessel;Ceramic;USA;Italy;2012.0;1996.0;
924;Vessel;Ceramic;USA;Italy;2005.0;1981.0;
926;Sculpture;Stone;USA;Iraq;2010.0;;2003.0
936;Vessel;Terracotta;USA;Italy;2007.0;;
939;Lighting Device;Bronze;USA;Italy;2005.0;1990.0;
942;Vessel;Ceramic;USA;Italy;1999.0;1983.0;
945;Sculpture;Marble;USA;Italy;2007.0;1985.0;
947;Sculpture;Marble;USA;Italy;2007.0;1996.0;
951;Sculpture;Marble;USA;Italy;2007.0;1985.0;1976.0
954;Sculpture;Marble;USA;Italy;2011.0;;1988.0
956;Vessel;Ceramic;USA;Italy;2008.0;1972.0;1971.0
957;Vessel;Silver;USA;Italy;2010.0;;
958;Various;Gold;USA;Greece;1996.0;1993.0;
960;Funerary Object;Marble;USA;Italy;2014.0;;
961;Currency;Various;USA;Türkiye;1999.0;1984.0;
966;Sculpture;Marble;USA;Italy;1952.0;1948.0;
968;Sculpture;Marble;Switzerland;Albania;2000.0;;
972;Vessel;Ceramic;USA;Italy;2013.0;1982.0;1981.0
973;Currency;Silver;USA;Romania;2013.0;;
975;Jewelry;Gold;USA;Türkiye;2012.0;1966.0;
977;Religious Work;Various;USA;Greece;2014.0;1983.0;1960.0
990;Architecture;Stone;USA;Thailand;1988.0;1967.0;
991;Various;Chlorite;UK;Iran;2011.0;;2001.0
992;Vessel;Terracotta;USA;Italy;2006.0;1991.0;
995;Sculpture;Marble;USA;Italy;2006.0;1979.0;
998;Sculpture;Various;USA;Nigeria;2014.0;1996.0;1990.0
999;Sculpture;Terracotta;USA;Nigeria;2014.0;2014.0;
1001;Vessel;Ceramic;USA;Italy;2006.0;1979.0;
1002;Sculpture;Terracotta;USA;Nigeria;2014.0;1992.0;1990.0
1004;Sculpture;Marble;USA;Türkiye;2011.0;1981.0;
1006;Various;Various;USA;Costa Rica;2020.0;1932.0;
1015;Sculpture;Sandstone;USA;India;2016.0;;
1016;Sculpture;Sandstone;USA;India;2016.0;2016.0;
1017;Sculpture;Sandstone;USA;Cambodia;2015.0;1982.0;
1032;Information Artifact;Clay;USA;Iraq;2013.0;1999.0;
1034;Visual Work;Marble;USA;Türkiye;2012.0;1999.0;
1049;Vessel;Silver;USA;Iran;2013.0;2000.0;
1075;Vessel;Gold;USA;Italy;2000.0;1991.0;
1077;Sculpture;Bronze;USA;Pakistan;2016.0;1982.0;1982.0
1113;Vessel;Marble;USA;Italy;2007.0;1985.0;
1116;Information Artifact;Lead;USA;Italy;1992.0;1981.0;
1127;Sculpture;Sandstone;USA;Cambodia;2013.0;;
1143;Sculpture;Bronze;USA;India;1976.0;1973.0;1956.0
1146;Monument;Wood;USA;USA;2001.0;1990.0;1899.0
1147;Visual Work;Various;USA;Cyprus;1991.0;;1976.0
1149;Sculpture;Limestone;USA;Yemen;2004.0;;
1168;Sculpture;Stone;USA;Cambodia;2014.0;;
1178;Sculpture;Bronze;USA;India;2016.0;2006.0;
1191;Various;Various;USA;Peru;2012.0;;1911.0
1197;Vessel;Ceramic;USA;Guatemala;2012.0;;
1199;Sculpture;Terracotta;USA;Italy;2013.0;1985.0;
1200;Sculpture;Marble;USA;Italy;2010.0;1988.0;
1202;Sculpture;Basalt;USA;Mexico;2013.0;;
1204;Sculpture;Terracotta;USA;Italy;2022.0;1976.0;
1212;Various;Various;USA;Italy;2021.0;;
1213;Tablet;Stone;USA;Iraq;2021.0;;
1214;Various;Various;USA;Lebanon;2023.0;;
1221;Architecture;Ceramic;UK;Türkiye;;;
1234;Sculpture;Marble;USA;Libya;2023.0;;
1245;Sculpture;Bronze;Germany;Greece;2002.0;;
1246;Various;Silver;UK;Hungary;2014.0;;
1247;Currency;Gold;USA;Greece;2023.0;;
1248;Currency;Silver;USA;Italy;2023.0;;
1256;Visual Work;Stone;USA;Syria;2016.0;;
1257;Information Artifact;Other;USA;Armenia;2015.0;1993.0;
1258;Fragment;Limestone;USA;Iran;2018.0;;1936.0
1259;Architecture;Sandstone;USA;Thailand;2021.0;1968.0;
1260;Architecture;Sandstone;USA;Thailand;2021.0;1966.0;
1262;Sculpture;Marble;USA;Lebanon;2017.0;2010.0;1981.0
1263;Sculpture;Sandstone;Australia;India;2016.0;2007.0;
1264;Information Artifact;Clay;USA;Iraq;2017.0;2010.0;
1274;Sculpture;Limestone;USA;Iraq;2015.0;;2008.0
1284;Sculpture;Bronze;USA;Türkiye;2023.0;;
1670;Sculpture;Bronze;Australia;India;2014.0;2008.0;2006.0
1689;Architectural Element;Terracotta;Canada;Italy;2014.0;;1964.0
1697;Sculpture;Bronze;China;China;2000.0;;1860.0
1728;Ornament;Bronze;France;China;2013.0;;1860.0
1743;Sculpture;Marble;Germany;Greece;2014.0;1975.0;
1752;Architectural Element;Limestone;Germany;Afghanistan;2012.0;;
1758;Sculpture;Bronze;UK;Türkiye;2002.0;;
1759;Sculpture;Marble;Greece;Albania;2008.0;;1991.0
1765;Obelisk;Stone;Italy;Ethiopia;2005.0;1937.0;1937.0
1785;Textile;Textile;Sweden;Peru;2014.0;1935.0;
1848;Sculpture;Sandstone;USA;Cambodia;2014.0;;
1850;Monument;Limestone;USA;Guatemala;1999.0;;
1892;Information Artifact;Wood;France;Mexico;1982.0;1982.0;
1939;Monument;Wood;Sweden;Canada;2006.0;1929.0;1928.0
1941;Sculpture;Marble;Italy;Albania;2009.0;;1991.0
2025;Sculpture;Marble;Greece;Albania;2003.0;;1991.0
2048;Human Remains;Human Remains;Belgium;Egypt;2015.0;1980.0;
2063;;;USA;Italy;2023.0;;
2068;Sculpture;Stone;USA;Nepal;2021.0;;1984.0
2071;Sculpture;Copper;USA;Nepal;2023.0;2005.0;1994.0
2072;Sculpture;Copper;USA;Nepal;2023.0;;1994.0
