pdf_name;page_number;img_filename;chunk_id;table_idx;centre_x;centre_y
0-آثارنا المنهوبة_3.pdf;1;0-آثارنا المنهوبة_3_page1_img3.png;0-آثارنا المنهوبة_3.pdf_page1_table2;2;140.3;371.795
0-آثارنا المنهوبة_3.pdf;1;0-آثارنا المنهوبة_3_page1_img4.png;0-آثارنا المنهوبة_3.pdf_page1_table1;1;153.75;166.695
0-آثارنا المنهوبة_3.pdf;1;0-آثارنا المنهوبة_3_page1_img5.png;0-آثارنا المنهوبة_3.pdf_page1_table3;3;141.025;614.855
0-آثارنا المنهوبة_3.pdf;2;0-آثارنا المنهوبة_3_page2_img3.png;0-آثارنا المنهوبة_3.pdf_page2_table3;3;170.625;607.345
0-آثارنا المنهوبة_3.pdf;2;0-آثارنا المنهوبة_3_page2_img4.png;0-آثارنا المنهوبة_3.pdf_page2_table1;1;191.525;139.745
0-آثارنا المنهوبة_3.pdf;2;0-آثارنا المنهوبة_3_page2_img5.png;0-آثارنا المنهوبة_3.pdf_page2_table2;2;165.525;382.32
0-آثارنا المنهوبة_3.pdf;2;0-آثارنا المنهوبة_3_page2_img6.png;0-آثارنا المنهوبة_3.pdf_page2_table1;1;143.5;214.35
0-آثارنا المنهوبة_3.pdf;3;0-آثارنا المنهوبة_3_page3_img3.png;0-آثارنا المنهوبة_3.pdf_page3_table1;1;160.2;356.29499999999996
0-آثارنا المنهوبة_3.pdf;3;0-آثارنا المنهوبة_3_page3_img4.png;0-آثارنا المنهوبة_3.pdf_page3_table1;1;189.22500000000002;154.32
0-آثارنا المنهوبة_3.pdf;3;0-آثارنا المنهوبة_3_page3_img5.png;0-آثارنا المنهوبة_3.pdf_page3_table2;2;168.64000000000001;588.344998474
0-آثارنا المنهوبة_3.pdf;4;0-آثارنا المنهوبة_3_page4_img3.png;0-آثارنا المنهوبة_3.pdf_page4_table3;3;177.4;608.87
0-آثارنا المنهوبة_3.pdf;4;0-آثارنا المنهوبة_3_page4_img4.png;0-آثارنا المنهوبة_3.pdf_page4_table1;1;178.425;167.945
0-آثارنا المنهوبة_3.pdf;4;0-آثارنا المنهوبة_3_page4_img5.png;0-آثارنا المنهوبة_3.pdf_page4_table2;2;173.37499999999997;392.345
0-آثارنا المنهوبة_3.pdf;5;0-آثارنا المنهوبة_3_page5_img3.png;0-آثارنا المنهوبة_3.pdf_page5_table2;2;168.85;380.92
0-آثارنا المنهوبة_3.pdf;5;0-آثارنا المنهوبة_3_page5_img4.png;0-آثارنا المنهوبة_3.pdf_page5_table1;1;187.775;130.47
0-آثارنا المنهوبة_3.pdf;5;0-آثارنا المنهوبة_3_page5_img5.png;0-آثارنا المنهوبة_3.pdf_page5_table1;1;119.05;216.8
0-آثارنا المنهوبة_3.pdf;5;0-آثارنا المنهوبة_3_page5_img6.png;0-آثارنا المنهوبة_3.pdf_page5_table1;1;241.57500000000002;214.1
0-آثارنا المنهوبة_3.pdf;5;0-آثارنا المنهوبة_3_page5_img7.png;0-آثارنا المنهوبة_3.pdf_page5_table3;3;177.975;579.425
0-آثارنا المنهوبة_3.pdf;6;0-آثارنا المنهوبة_3_page6_img3.png;0-آثارنا المنهوبة_3.pdf_page6_table2;2;244.075;380.12
0-آثارنا المنهوبة_3.pdf;6;0-آثارنا المنهوبة_3_page6_img4.png;0-آثارنا المنهوبة_3.pdf_page6_table2;2;121.9;392.87
0-آثارنا المنهوبة_3.pdf;6;0-آثارنا المنهوبة_3_page6_img5.png;0-آثارنا المنهوبة_3.pdf_page6_table1;1;165.0;171.32
0-آثارنا المنهوبة_3.pdf;6;0-آثارنا المنهوبة_3_page6_img6.png;0-آثارنا المنهوبة_3.pdf_page6_table3;3;177.87499999999997;590.625
0-آثارنا المنهوبة_3.pdf;7;0-آثارنا المنهوبة_3_page7_img3.png;0-آثارنا المنهوبة_3.pdf_page7_table2;2;160.2;573.77
0-آثارنا المنهوبة_3.pdf;7;0-آثارنا المنهوبة_3_page7_img4.png;0-آثارنا المنهوبة_3.pdf_page7_table1;1;170.575;287.745
