,artifact_id,text_for_matching_web,id_page,price,currency,description_short,description_long,id_article;;;;;;;
"0,0-آثارنا المنهوبة_25_p020_e27076bd,""Ancient Egyptian Shabti- Ancient Egyptian Amulets - Ancient Egyptian Pottery - Ancient Egyptian Scarabs - Ancient Egyptian Terracotta Within our Near Eastern Antiquities and Classical Antiquities sections the aim is to showcase mainly Ancient Pottery and Ancient Statuary . Ancient Egyptian Shabti- Ancient Egyptian Amulets - Ancient Egyptian Pottery - Ancient Egyptian Scarabs - Ancient Egyptian Terracotta Authentic antiquities that have carefully been vetted by us with over 30 years experience. Scroll through our galleries section and you find some Egyptian Shabtis, ancient Egyptian amulets and terracotta statues as well as Classical arts and Near Eastern antiquities. No parts of this website including text, photos may be reproduced or copied without prior consent and permission from artandantiquities.co.uk Art and Antiquities Welcome Welcome to Art and Antiquities, the home of genuine and provenanced Art and Antiquities. No parts of this website including text, photos may be reproduced or copied without prior consent and permission from artandantiquities.co.uk Art and Antiquities Previous Next Our latest additions We aim to showcase a variety of Artworks both for new collectors and rarer pieces as well! Within our galleries you will find primarily Ancient Egyptian Antiquities as this is our main passion and the private collectors that we partner with. You will find a selection of Antiquities from ancient Egypt, the Greek world and Near Eastern civilizations. Welcome Welcome to Art and Antiquities, the home of genuine and provenanced Art and Antiquities."",20,,,""Ancient Egyptian antiquities, including shabti, amulets, pottery, scarabs, and terracotta objects."",""Ancient Egyptian antiquities, including shabti, amulets, pottery, scarabs, and terracotta objects. The source text describes a selection of antiquities from ancient Egypt, the Greek world, and Near Eastern civilizations, with an emphasis on Ancient Egyptian material. It refers generally to shabtis, amulets, pottery, scarabs, and terracotta statues, but provides no individual object details, dimensions, date, or technique beyond the typological categories named."",1";;;;;;;
"1,0-آثارنا المنهوبة_25_p027_b022fb35,""CARVED STONE IDOL/FIGURE OF PRE-ISLAMIC SOUTH ARABIAN TYPE... LOT 31 CARVED STONE IDOL/FIGURE OF PRE-ISLAMIC SOUTH ARABIAN TYPE, possibly Yemen... [ translate ] CARVED STONE IDOL/FIGURE OF PRE-ISLAMIC SOUTH ARABIAN TYPE, possibly Yemen circa 2nd century B.C - 2nd century A.D., bearing incised almond-shaped eyes, pupils and eyebrows, with extended forearms, in tunic style dress, 14.2cm high Past » View it on Login Sale price Unlock Estimate Unlock Time, Location 22 Feb 2023 UK Auction House Unlock [ translate ] CARVED STONE IDOL/FIGURE OF PRE-ISLAMIC SOUTH ARABIAN TYPE, possibly Yemen circa 2nd century B.C - 2nd century A.D., bearing incised almond-shaped eyes, pupils and eyebrows, with extended forearms, in tunic style dress, 14.2cm high Sale price Unlock Estimate Unlock Time, Location 22 Feb 2023 UK Auction House Unlock Past » View it on Login"",27,,,""Carved stone idol/figure of pre-Islamic South Arabian type, possibly from Yemen, circa 2nd century B.C. to 2nd century A.D., with incised almond-shaped eyes, pupils and eyebrows, extended forearms, and tunic-style dress. Height 14.2 cm."",""Carved stone idol/figure of pre-Islamic South Arabian type, possibly from Yemen, dated circa 2nd century B.C. to 2nd century A.D. The figure has incised almond-shaped eyes, pupils and eyebrows, extended forearms, and is depicted in a tunic-style dress. The object measures 14.2 cm in height."",2";;;;;;;
"2,0-آثارنا المنهوبة_25_p036_bea25d9f,""LOT 109 Two South Arabian Antiquities, Qataban, 3rd Century B.C./1st Century A.D. [ translate ] Property from the Collection of the Late Antonin and Christiane Besse Two South Arabian Antiquities, Qataban 3rd Century B.C./1st Century A.D. Please note that Condition 11 of the Conditions of Business for Buyers (Online Only) is not applicable to this lot. comprising the front of a bronze right foot and an alabaster clenched hand. Bronze foot only partially preserved and with thick layer of corrosion. (2) Condition Report: Alabaster left hand is missing most of thumb and is chipped along edges. Both individually mounted on wood bases."",36,,,""Two South Arabian antiquities, Qataban, dated to the 3rd century B.C./1st century A.D., comprising the front of a bronze right foot and an alabaster clenched hand, both mounted on wood bases."",""Two South Arabian antiquities from Qataban, dated to the 3rd century B.C./1st century A.D., comprising the front part of a bronze right foot and an alabaster clenched hand. The bronze foot is only partially preserved and has a thick layer of corrosion. The alabaster hand is missing most of the thumb and is chipped along the edges. Both objects are individually mounted on wood bases."",3";;;;;;;
"3,0-آثارنا المنهوبة_25_p037_76bcbec5,""The British Museum, museum number 141577 Another example of an alabaster head hammered for $7,500 at Christie's, New York """"Antiquities"""" auction (sale 2709, June 6, 2013, lot 694) Provenance: East Coast collection, New York Gallery, New York City, New York, USA, acquired before 2010 All items legal to buy/sell under U.S. The people of these kingdoms created figural representations from alabaster and other stones, including stele with high relief faces honoring the deceased like this one. Size: 5"""" W x 7.3"""" H (12.7 cm x 18.5 cm)"",37,,,""Head, alabaster. Figural representation in alabaster, described as an example of a head from the kingdoms that created figural representations from alabaster and other stones. Dimensions: 5 in. W x 7.3 in. H (12.7 cm x 18.5 cm)."",""Head, alabaster. The object is described as an alabaster head and as an example of the figural representations produced by the people of these kingdoms from alabaster and other stones, including stele with high-relief faces honoring the deceased. It is recorded with the British Museum, museum number 141577. Dimensions are given as 5 in. wide by 7.3 in. high (12.7 cm x 18.5 cm)."",4";;;;;;;
"4,0-آثارنا المنهوبة_25_p038_a303509a,""LOT 1688 Western Asiatic South Arabian Painted Jar [ translate ] 2nd century BC-2nd century AD. A ceramic jar with slightly flared rim and loop handles to the shoulders, bands of geometric painted ornament in black and red on a cream field. Private collection, South West London"",38,,,""Ceramic jar, South Arabian, 2nd century BC-2nd century AD. Jar with slightly flared rim and loop handles to the shoulders, decorated with bands of geometric painted ornament in black and red on a cream field."",""Ceramic jar, South Arabian, 2nd century BC-2nd century AD. The vessel has a slightly flared rim and loop handles attached to the shoulders. It is decorated with bands of geometric painted ornament in black and red on a cream field. Provenance: private collection, South West London."",5";;;;;;;
"5,0-آثارنا المنهوبة_25_p039_21a0fd74,""The head presents large ovoid eyes with impressed pupils on either side of the narrow nose, pursed lips set above a smooth chin, slightly bulging cheeks in front of a tapered mandible, and a shallow indentation centered on the forehead. Size: 5.375"""" W x 7.9"""" H (13.7 cm x 20.1 cm)"",39,,,""Head, material not specified, with large ovoid eyes with impressed pupils, a narrow nose, pursed lips above a smooth chin, slightly bulging cheeks in front of a tapered mandible, and a shallow central indentation on the forehead. Dimensions: 5.375 in W x 7.9 in H (13.7 cm x 20.1 cm)."",""Head, material not specified, with large ovoid eyes with impressed pupils positioned on either side of a narrow nose. The face has pursed lips set above a smooth chin, slightly bulging cheeks in front of a tapered mandible, and a shallow indentation centered on the forehead. Dimensions are 5.375 in W x 7.9 in H (13.7 cm x 20.1 cm)."",6";;;;;;;
"6,0-آثارنا المنهوبة_25_p041_16bc353c,"": 23,5 cm Provenance : Collection Szerer, Paris A South Arabian alabaster head, late 1st millennium B.C. LOT 7 TÊTE MASCULINE EN ALBÂTRE, ART SUD-ARABIQUE, FIN DU 1ER MILLÉNAIRE AV.J.C. Tête masculine, au visage triangulaire, barbu et moustachu, larges yeux incrustés en amande, sourcils gravés, nez droit, lèvres closes et long cou cylindrique. Estimation 14 000 - 18 000 € Sold 15,600 € * Results are displayed including buyer's fees and taxes. [ translate ] TÊTE MASCULINE EN ALBÂTRE, ART SUD-ARABIQUE, FIN DU 1ER MILLÉNAIRE AV.J.C. They are generated automatically and can be modified."",41,""15,6"",€,""Head, alabaster, South Arabian art, late 1st millennium B.C. Masculine head with a triangular face, beard and moustache, large inlaid almond-shaped eyes, engraved eyebrows, straight nose, closed lips, and a long cylindrical neck. Height: 23.5 cm."",""Head, alabaster, South Arabian art, late 1st millennium B.C. Masculine head with a triangular face, beard and moustache, large inlaid almond-shaped eyes, engraved eyebrows, a straight nose, closed lips, and a long cylindrical neck. The object is recorded with a height of 23.5 cm and provenance from the Collection Szerer, Paris."",7";;;;;;;
"7,0-آثارنا المنهوبة_25_p043_e92bb9bc,""A cast bronze statuette of a camel with an erect head and neck, a slight hump, and a friendly face with big, round eyes that gives him a charming look. LOT 0083 Ancient South Arabian Bronze Statuette - Camel [ translate ] Ancient South Arabia, Yemen, ca. Size: 4"""" W x 3.55"""" H (10.2 cm x 9 cm)"",43,,,""Statuette, cast bronze, of a camel with an erect head and neck, a slight hump, and a friendly face with large round eyes. Ancient South Arabia, Yemen";" size 4 in. W x 3.55 in. H (10.2 cm x 9 cm)."",""Statuette, cast bronze, representing a camel with an erect head and neck, a slight hump, and a face with large round eyes. The object is described as from Ancient South Arabia, Yemen. Dimensions are given as 4 in. wide by 3.55 in. high (10.2 cm x 9 cm)."",8";;;;;;
"8,0-آثارنا المنهوبة_25_p044_1394a6c0,""LOT 0249 Large South Arabian Alabaster Standing Figure of a Goddess [ translate ] 1st century B.C.-1st century A.D. Modelled in the round figure of a standing deity with textural detailing to the hair, na?ve facial features with exaggerated eyes to accept inserts (absent) and slit mouth, gripping hands held out at the chest and one pierced to accept an attribute, knee-length garment, collar or necklace below the throat"",44,,,""Standing figure, alabaster, South Arabian, 1st century B.C.–1st century A.D. Modelled in the round as a standing deity with textural hair detailing, naïve facial features, exaggerated eyes for inserts, a slit mouth, hands held out at the chest, one hand pierced to accept an attribute, and a knee-length garment with a collar or necklace below the throat."",""Standing figure, alabaster, South Arabian, 1st century B.C.–1st century A.D. Modelled in the round as a standing deity. The figure has textural detailing to the hair, naïve facial features, exaggerated eyes intended to accept inserts, now absent, and a slit mouth. The hands are held out at the chest, with one hand pierced to accept an attribute. The figure wears a knee-length garment and has a collar or necklace below the throat."",9";;;;;;;
"9,0-آثارنا المنهوبة_25_p045_eaae26b1,""LOT 0260 Western Asiatic South Arabian Plaque [ translate ] 2nd century BC-2nd century AD. A rectangular bronze plaque in fragments with raised border rows of raised Nabatean text, two fixing holes. Property of a Mayfair lady"",45,,,""Plaque, bronze. Rectangular Western Asiatic South Arabian plaque in fragments, with a raised border, rows of raised Nabatean text, and two fixing holes. Dated to the 2nd century BC-2nd century AD."",""Plaque, bronze. Rectangular Western Asiatic South Arabian plaque preserved in fragments, with a raised border and rows of raised Nabatean text. The object has two fixing holes. It is dated to the 2nd century BC-2nd century AD."",10";;;;;;;
