artifact_id;lien_ok;text_for_matching
0-آثارنا المنهوبة_25_p001_727222a7;https://www.lot-art.com/auction-lots/South_ArabianYemeni-fragment-finely-carved-stone-wit/526-sloane-25-2.5.0; . 14  × 12  LOT - ART A mural. Part of a mural with glass geometrics, plus five animal heads, is surrounded by a tyre that embodies the acupuncture and is attached. Jerry's Stone.
0-آثارنا المنهوبة_25_p002_ff2d3dda;https://www.lot-art.com/auction-lots/Arabian-South-An/248-200-CE-100-CE-B-hood-08.10.24-south_Arabian-Inscription-with-Fragment-Figural-Stele-Alabaster; . 200 - 100 6 1/4 × 5 × 1 5/8 LOT - ART A mural. The bottom of a mural, which highlights the lower half of a human body wearing a long dress, stands on a rectangular base with an unclear pedagogy, which is likely to be a person's name. A marble stone. About 200 before Miled-100 Miles. 6 1/4 in height times 5 in width times 1 5/8 in depth
0-آثارنا المنهوبة_25_p003_85c68c3b;https://www.lot-art.com/auction/91322465/Price-Reserve-No-Figurine-Rider-with-Camel-catawiki-09.12.24-south_arabian; 3.6 × 1.17 × 4 LOT - ART An animal statue. A camel statue with a bronze rider, suffering from dirt cleavages. Bronze. The length is 3.6 cm times the width is 1.17 cm times the height is 4 cm. LOT - ART Good.
0-آثارنا المنهوبة_25_p004_6c0d0179;https://www.lot-art.com/auction-lots/South-Arabian-Sabaean-Votive-Head-Terracotta-3rd-c-1st-BC/83-artemission25.2.25;7.4 - 2 7/8 LOT - ART 7.4 - 2 7/8 LOT - ART The head of a human statue. A human head of pottery (burned clay), with clear facial glimpses, with a prominent nose connected by eyebrows, underneath which are closed eyes, and lips with prominent lips, show on its surface simple, impenetrable holes as a result of the burning of mud-mixed hay. Cream (burned mud)
0-آثارنا المنهوبة_25_p005_a9b6090a;https://www.lot-art.com/auction-lots/Arabian-South-Arabian-circa-3rd-1st-BC-head-alabaster/61-30.10.23;  . 9.6 LOT - ART LOT - ART The head of a human statue. A human head from the marble stone with clear facial glimpses, the front of the head (front) is missing, the left eye is blind and reloaded with gypsum, the nose is prominent, and the lips are small and visible. A marble stone. About the third century or the first before the miles.
0-آثارنا المنهوبة_25_p006_1cdb6eb3;https://www.lot-art.com/auction-lots/A-south-Arabian-alabaster-head-of-a-man/162; . 23 LOT - ART 23 LOT - ART
0-آثارنا المنهوبة_25_p007_1c050a86;https://www.lot-arabian-south-arabian-weight/178-bronze-inscribed-archaeological-1.10.24; . : . 8.8 LOT - ART And a closet. A bronze tank, rectangular, stands on two legs with a handle on its top, on its side written in the shovel line, consisting of one line as follows: Bronze. About the first century before the miles.
0-آثارنا المنهوبة_25_p008_44540d03;https://www.lotart.com/auction/south_arabian-lots/SOUTH-arabian-STELE/90-FACE-STONE; . 175 / 120 2.7 LOT - ART 175 / 120 2.7 LOT - ART A tombstone. He saw a human grave from the marble stone, with a clear glimpse of a face, two eyes of blues, two eyebrows, two sharp lines, a straight line, and a bald mouth with two distinct horizontal lips, and a wide chin. A marble stone.
0-آثارنا المنهوبة_25_p009_2f2b0ce4;https://www.lot-art.com/auction-lots/South-Arabian-Beehive-Jar-Alabaster-Qatabanian-with-Lid/196-artemiw-7.10.22;  . 7.9 × 8.6 ( 3.1 × 3.4 ) LOT - ART Annie. A conical-shaped stone bowl of the marble stone, with a crater smaller than the diameter of its base, has a hood with a handle, and shows coloured lines (sticks) of the same stone. A marble stone. About the third century before the miles into the first of the miles. 7.9 x 8.6 cm (3.1 &quot
0-آثارنا المنهوبة_25_p010_d9c89231;https://www.lot-art.com/auction-lots/South-Arabian-Alabaster-Head-a-timeline-04.3.25/251;0 . 2.42 22.5 (8/7 8 ) LOT - ART 2.42 22.5 (8/7 8 ) LOT - ART The head of a human statue. The head of a human statue, of the marble stone, with a clear-eyed face of two eyebrows above the eyebrows, a relatively large nose, a prominent little mouth, and a neck.
0-آثارنا المنهوبة_25_p011_c592ae55;https://www.lot-art.com/auction-lots/South-Arabian-Anthropomorphic-Stele-Limestone-22-cm/81575933;1 . 22 LOT - ART
0-آثارنا المنهوبة_25_p012_62aa0a39;https://www.lot-art.com/auction-lots/South-Arabian-timeline-05.9.24-south_arabian-Stele/1199-Face;2 1.82 34.5 (13 8/5 ) LOT - ART LOT - ART A tombstone. He saw a rectangular tomb, limestone, two eyes high, a long nose high. Jerry's Stone. Mid-to-late first millennium before or after the miles.
0-آثارنا المنهوبة_25_p013_77e29dc4;https://www.lot-art.com/auction/south_arabian-CAMELS/465-BRONZE-THREE-OF-GROUP;3 . 60-63 × 65-67 125 LOT - ART LOT - ART Animal statues. A bronze collection of camel statues is about the same size, their heads are high up, their ears are stunning, their tails are short, their limbs are stuck. Bronze. About the second to the first century before the miles.
0-آثارنا المنهوبة_25_p014_eef7c864;https://www.lot-art.com/auction-lots/SOUTH-ARABIAN-FIGURINE/465-south_arabian_pollo-23.7.23;4 . 110 / 45 155 LOT - ART . 110 / 45 155 LOT - ART A human statue. The statue of a woman from the bronze, standing on a rectangular base, covers her lower half with an apron, her left hand stuck on her body, while her right hand is stretched forward and clinged to it with a pentagram flower. Her face is characterized by simple hints, her eyes are prominent, with wide nose and bloated lips. Her ears are decorated with heavy earrings, with a crown on her head.
