artifact_id;image_pdf;image_web;score
0-22_p012_ec9c65d5;0-22_p012_img005.png;0-22_p012_ec9c65d5_img1_d1f4741325_b35194803289.jpg;4.410743713378906e-05
0-22_p015_88c123d1;0-22_p015_img005.png;0-22_p015_88c123d1_img1_1d4a8414ec_5f3e8fd0206e.jpg;0.0002995729446411
0-22_p011_683adcce;0-22_p011_img005.png;0-22_p011_683adcce_img1_d244dbeeb1_c24e289d781a.jpg;0.0003093481063842
0-21_p006_84c0b921;0-21_p006_img005.png;0-21_p006_84c0b921_img1_cfe9ca61b7_68d29c4f43a6.jpg;0.0006862878799438
0-10_p073_d8fc1a04;0-10_p073_img005.png;0-10_p073_d8fc1a04_img1_604e95d333_a2b5946cb357.jpg;0.0012045502662658
0-10_p069_fbb166c8;0-10_p069_img005.png;0-10_p069_fbb166c8_img1_8b47fb8af8_c8c29e20cf6b.jpg;0.001217246055603
0-21_p003_6b5eae07;0-21_p003_img005.png;0-21_p003_6b5eae07_img2_637f9f52c5_32b1e54c1086.jpg;0.0013157129287719
0-25_p063_c1d108c1;0-25_p063_img005.png;0-25_p063_c1d108c1_img1_b2de9fb770_2f5b1604e512.jpg;0.0094187259674072
0-5_p001_6d116178;0-5_p001_img004.png;0-5_p001_6d116178_img1_b88d7f1967_76063bede7e0.jpg;0.0096754431724548
0-21_p004_ab94b753;0-21_p004_img005.png;0-21_p004_ab94b753_img2_cfe828c13f_823a4732bd62.jpg;0.0099825859069824
0-10_p063_7c650d5d;0-10_p063_img005.png;0-10_p063_7c650d5d_img1_a36bfab2a6_6dd62839dd04.jpg;0.0122764110565185
0-10_p068_ba9aadb6;0-10_p068_img005.png;0-10_p068_ba9aadb6_img1_ede56b9b06_77163e3e829d.jpg;0.013961374759674
0-28_p006_b6ac7e93;0-28_p006_img005.png;0-28_p006_b6ac7e93_img2_61be2aaaf0_503a37d9d6bb.webp;0.0152381062507629
0-10_p095_f45e4544;0-10_p095_img005.png;0-10_p095_f45e4544_img1_e73b0a94ba_48dd10afcba6.jpg;0.0165271759033203
31- _31_p035_52be4054;31- _31_p035_img001.png;31-__31_p035_52be4054_img1_a7ac08fb5d_d8abffcc6791.jpg;0.0197808742523193
0-10_p071_9aa6662e;0-10_p071_img005.png;0-10_p071_9aa6662e_img1_de272de87b_a64873b4eb0a.jpg;0.0200917720794677
0-25_p046_0ea08f6c;0-25_p046_img005.png;0-25_p046_0ea08f6c_img1_20d38d2f1f_2596be35f336.jpg;0.020323097705841
0-25_p043_e92bb9bc;0-25_p043_img005.png;0-25_p043_e92bb9bc_img1_58456d0617_2f3ff6ed32e2.jpg;0.0208306312561035
