artifact_id;pdf_name;page_num;numero_inventaire;type;description_texte_long;materiel;periode;dimensions;nom_musee_auction;etat;note;lien_ok
0-آثارنا المنهوبة_18_p001_593cd272;0-آثارنا المنهوبة_18.pdf;1;;سيف;سيف من مادة البرونز على مقبضه كتابة بخط المسند البارز، يغطي أجزاء من مقبضه قطع ذهبية;البرونز;;;سوق حزم الجوف;منهوب;;
0-آثارنا المنهوبة_18_p001_669d467d;0-آثارنا المنهوبة_18.pdf;1;;تمثال آدمي;تمثال آدمي من حجر الكلس بوضعية الجلوس واليدين في حالة ضم، باإلضافة إلى خاتم من البرونز;حجر الكلس;;;سوق حزم الجوف;منهوب;باإلضافة إلى خاتم من البرونز;
0-آثارنا المنهوبة_18_p002_6dd48f0e;0-آثارنا المنهوبة_18.pdf;2;;تمثال آدمي;تمثال آدمي من حجر المرمر (الرخام)، بوضعية الوقوف يغطي جسده رداء منسدل لأعلى، اليدين ممدودتين للأمام، يقف التمثال على قاعدة مستطيلة من نفس حجر التمثال، عليها أحرف بخط المسند.;حجر المرمر (الرخام);;;المعروضة للبيع في سوق حزم الجوف;منهوبة;عليها أحرف بخط المسند.;
0-آثارنا المنهوبة_18_p002_ae943cdb;0-آثارنا المنهوبة_18.pdf;2;;قنينة;قنينة من البرونز ذات درجة شفافية عالية، أسفلها بيضاوي متسع يعلوها عنق اسطواني طويل ينتهي بفوهة مقلوبة للخارج.;البرونز;;;المعروضة للبيع في سوق حزم الجوف;منهوبة;;
0-آثارنا المنهوبة_18_p003_84275417;0-آثارنا المنهوبة_18.pdf;3;;قرط;قرط من الذهب ذو شكل نصف دائري، محاط بصفين من الحبيبات الصغير المتالصقة، يتوسطهما صفين من الحلقات الصغيرة.;الذهب;;;سوق حزم الجوف;منهوب من المواقع الأثرية، معروض للبيع;;
0-آثارنا المنهوبة_18_p003_fc5fac26;0-آثارنا المنهوبة_18.pdf;3;;أوانٍ;ثلاث أواني من حجر المرمر (الرخام)، مخروطية الشكل، أحدها ذات مقبض صغير مثقوب والأخرى ذات غطاء بمقبص صغير مثقوب هو الآخر.;حجر المرمر (الرخام);;;سوق حزم الجوف;منهوبة من المواقع الأثرية، معروضة للبيع;مجموعة من ثلاثة أوانٍ.;
0-آثارنا المنهوبة_18_p004_4f27afc0;0-آثارنا المنهوبة_18.pdf;4;;تمثال صغير لحيوان أبو الهول;تمثال صغير لحيوان أبو الهول، من الحجر الجيري، برأس آدمي وجسد حيوان، يعلو الرأس ما يشبه لطائر، والتمثال يقف على قاعدة مستطيلة الشكل من نفس حجر التمثال.;الحجر الجيري;;;المعروضة للبيع في سوق حزم الجوف;;;
0-آثارنا المنهوبة_18_p004_094231c0;0-آثارنا المنهوبة_18.pdf;4;;مبخرة اسطوانية الشكل;مبخرة اسطوانية الشكل من حجر المرمر (الرخام)، على عنقها من أسفل حزامين زخرفيين بارزين، والمبخرة تعاني من عدة كسور في الفوهة والقاعدة.;حجر المرمر (الرخام);;;المعروضة للبيع في سوق حزم الجوف;تعاني من عدة كسور في الفوهة والقاعدة;;
0-آثارنا المنهوبة_18_p005_c7e7b78a;0-آثارنا المنهوبة_18.pdf;5;;مائدة قرابين صغيرة;مائدة قرابين صغيرة الحجر، من حجر المرمر (الرخام)، تقف على أربع أرجل، يوجد زخرفة على شكل خطوط عمودية على جوانبها، وعلى سطحها من الأركان أربع حفر دائرية الشكل.;حجر المرمر (الرخام);;;سوق حزم الجوف;;معروضة للبيع في سوق حزم الجوف.;
0-آثارنا المنهوبة_18_p005_2c734e86;0-آثارنا المنهوبة_18.pdf;5;;مسحقة;مسحقة مربعة الشكل من حجر المرمر (الرخام)، تقف على أربع أرجل، يتوسط كل جانب من جوانبها الأربعة حفر أفقي غائر، كما يتوسط سطحها حفرة غائرة مستديرة الشكل، كانت بالغالب تستخدم لسحق مواد الطيب والتجميل أو المواد الطبية.;حجر المرمر (الرخام);;;سوق حزم الجوف;;معروضة للبيع في سوق حزم الجوف.;
0-آثارنا المنهوبة_18_p006_c11d48c1;0-آثارنا المنهوبة_18.pdf;6;;مبخرة مربعة الشكل;مبخرة مربعة الشكل، من الحجر الجيري، تقف على أربعة أرجل، على جوانبها كتابة بخط المسند )الغائر( ج د ن.;الحجر الجيري;;;سوق حزم الجوف;منهوبة;;
0-آثارنا المنهوبة_18_p006_bb91182f;0-آثارنا المنهوبة_18.pdf;6;;وعاء دائري الشكل;وعاء دائري الشكل من مادة البرونز، يقف على أربعة أرجل.;البرونز;;;سوق حزم الجوف;منهوبة;;
0-آثارنا المنهوبة_18_p007_95827082;0-آثارنا المنهوبة_18.pdf;7;;قاعدة إناء;قاعدة إناء اسطوانية الشكل من مادة البرونز، يتوسطها حزام مستدير بارز، والقاعدة من أسفل مخروطية الشكل أما من أعلى فهي مستديرة.;البرونز;;;سوق حزم الجوف;معروض للبيع;;
0-آثارنا المنهوبة_18_p007_be9577b5;0-آثارنا المنهوبة_18.pdf;7;;حبة خرز;حبة خرز من الحجر الكريم، كروية الشكل، بألوان برتقالية وكبدي، يتوسطها ثقب نافذ والذي كانت من خالله تعلق ضمن حبات العقد.;الحجر الكريم;;;سوق حزم الجوف;معروض للبيع;;
0-آثارنا المنهوبة_18_p008_534e4431;0-آثارنا المنهوبة_18.pdf;8;;عملة يمنية قديمة;عملة يمنية قديمة من مادة المعدن، يتوسطها نحت بارز لوجه آدمي محاط بنحت بارز لحيوان الأفعى.;المعدن;;;سوق حزم الجوف;معروضة للبيع;;
0-آثارنا المنهوبة_25_p001_727222a7;0-آثارنا المنهوبة_25.pdf;1;1;لوحة جدارية;جزء من لوحة جدارية عليها زخارف هندسية زجزاجية، بالإضافة إلى خمسة رؤوس حيوانية، يحيط بها إطار يجسد حيوان الوعل وهو رابض.;حجر جيري;;14 بوصة (ارتفاع) × 12 بوصة (عرض);LOT - ART;سيئة، إذ تعاني من فقدان من جميع أطرافها، وثقب غير نافذ في المنتصف;;https://www.lot-art.com/auction-lots/South_ArabianYemeni-fragment-finely-carved-stone-wit/526-sloane-25-2.5.0
0-آثارنا المنهوبة_25_p002_ff2d3dda;0-آثارنا المنهوبة_25.pdf;2;2;لوحة جدارية;الجزء السفلي للوحة جدارية، يبرز منها النصف السفلي لجسد آدمي يرتدي ثوب طويل، يقف على قاعدة مستطيلة عليها كتابة بخط المسند غير واضحة، من المرجح أن يكون اسم الشخص.;حجر مرمر;حوالي 200 قبل الميالد - 100 ميالدي;6 1/4 بوصة ارتفاع × 5 بوصة عرض × 1 5/8 بوصة عمق;LOT - ART;سيئة;;https://www.lot-art.com/auction-lots/Arabian-South-An/248-200-CE-100-CE-B-hood-08.10.24-south_Arabian-Inscription-with-Fragment-Figural-Stele-Alabaster
