artifact_id;type_en;description_texte_long_en;materiel_en;periode_en;dimensions_en;nom_musee_auction_en;etat_en;note_en;;;;;;;;;;;;;;;;;
0-آثارنا المنهوبة_18_p001_593cd272;;A sword.;A blade of bronze on his handle, written in line with the prominent pavilion, covers parts of his handle, gold pieces.;The bronze.;;;The Hollow Packing Market.;Defiled.;;;;;;;;;;;;;;;;;
0-آثارنا المنهوبة_18_p001_669d467d;;A human statue.;A human statue of limestone in a sit-down position and hands in a state of annexation, plus a bronze ring.;The limestone.;;;The Hollow Packing Market.;Defiled.;Plus a bronze ring.;;;;;;;;;;;;;;;;
0-آثارنا المنهوبة_18_p002_6dd48f0e;المعروضة للبيع في سوق حزم الجوف;منهوبة;عليها أحرف بخط المسند.;;A human statue.;A human statue from the marble stone, with a standing position covering his body with a hooded robe up, hands reaching forward, the statue standing on a rectangular base from the same stone of the statue, with letters in the letterhead.;Marblestone.;;;It's for sale at the Hollow Packing Market.;Loosened.;It's got letters in it in it.;;;;;;;;;;;;;
0-آثارنا المنهوبة_18_p002_ae943cdb;;A bottle.;A bottle of high-transparency bronze, with a wide oval underneath, with a long cylindrical neck that ends up with a back-to-the-out nozzle.;The bronze.;;;It's for sale at the Hollow Packing Market.;Loosened.;;;;;;;;;;;;;;;;;
0-آثارنا المنهوبة_18_p003_84275417; معروض للبيع;;;An earring.;A half-circular-shaped gold earring, surrounded by two rows of sticky little girlfriends, mediated by two rows of little rings.;Gold.;;;The Hollow Packing Market.;Looted from archaeological sites, for sale;;;;;;;;;;;;;;;
0-آثارنا المنهوبة_18_p003_fc5fac26; معروضة للبيع;مجموعة من ثلاثة أوانٍ.;;Time.;Three pots of marble stone, cone-shaped, one with a small punctured handle and the other with a small pierced socket.;Marblestone.;;;The Hollow Packing Market.;looted from archaeological sites, on sale;A bunch of three times.;;;;;;;;;;;;;;
0-آثارنا المنهوبة_18_p004_4f27afc0;المعروضة للبيع في سوق حزم الجوف;;;;A little sphinx statue.;A small statue of the sphinx, of the limestone, of the human head and body of an animal, of the head above what looks like a bird, and the statue stands on a rectangular base of the same stone of the statue.;The limestone.;;;It's for sale at the Hollow Packing Market.;;;;;;;;;;;;;;;
0-آثارنا المنهوبة_18_p004_094231c0;;;Cylon-shaped vapor.;Cylinder-shaped marble stone, on its neck from the bottom of two prominent decorative belts, and the vapor has several fractures in the crater and base.;Marblestone.;;;It's for sale at the Hollow Packing Market.;She's got multiple fractures in the crater and base.;;;;;;;;;;;;;;;;
0-آثارنا المنهوبة_18_p005_c7e7b78a;سوق حزم الجوف;;معروضة للبيع في سوق حزم الجوف.;;A little round table.;A small stone cork table, a marble stone, stands on four legs, with a decorator in the shape of vertical lines on its sides, with four round-shaped pits on its surface.;Marblestone.;;;The Hollow Packing Market.;;It's for sale at the Hollow Packing Market.;;;;;;;;;;;;;
0-آثارنا المنهوبة_18_p005_2c734e86;سوق حزم الجوف;;معروضة للبيع في سوق حزم الجوف.;;A powder.;A square-shaped powder of marble stone, standing on four legs, each of its four sides mediating deep horizontal pits, as well as a round-shaped ditch, which was mostly used to crush good, beautiful or medical materials.;Marblestone.;;;The Hollow Packing Market.;;It's for sale at the Hollow Packing Market.;;;;;;;;;;;;;
0-آثارنا المنهوبة_18_p006_c11d48c1;منهوبة;;;Square-shaped vapor.;A square-shaped vapor, from limestone, stands on four legs, on its sides, written in the jarhead line.;The limestone.;;;The Hollow Packing Market.;Loosened.;;;;;;;;;;;;;;;
0-آثارنا المنهوبة_18_p006_bb91182f;;Round-shaped bowl.;A round-shaped bowl of bronze, standing on four legs.;The bronze.;;;The Hollow Packing Market.;Loosened.;;;;;;;;;;;;;;;;;
0-آثارنا المنهوبة_18_p007_95827082;;;A bowl rule.;Bronze-shaped cylindrical base, mediated by a prominent round belt, and the bottom of the cone is round.;The bronze.;;;The Hollow Packing Market.;Presented for sale;;;;;;;;;;;;;;;;
0-آثارنا المنهوبة_18_p007_be9577b5;معروض للبيع;;;A bead.;A bead of stone cream, spherical shape, orange colors and liver, mediated by a hole in the window, which was by far stuck within the knots.;The gem.;;;The Hollow Packing Market.;Presented for sale;;;;;;;;;;;;;;;
0-آثارنا المنهوبة_18_p008_534e4431;;An old Yemeni coin.;An old Yemeni coin of metal, mediated by a prominent sculpture of a human face surrounded by a prominent sculpture of a snake.;Metal;;;The Hollow Packing Market.;Offered for sale;;;;;;;;;;;;;;;;;
0-آثارنا المنهوبة_25_p001_727222a7; إذ تعاني من فقدان من جميع أطرافها; وثقب غير نافذ في المنتصف;;https://www.lot-art.com/auction-lots/South_ArabianYemeni-fragment-finely-carved-stone-wit/526-sloane-25-2.5.0;A mural.;Part of a mural with glass geometrics, plus five animal heads, is surrounded by a tyre that embodies the acupuncture and is attached.;Jerry's Stone.;;14 inches (altitude) x 12 inches (presentation);LOT - ART;Bad. She's suffering from a loss of all her limbs, and an impenetrable hole in the middle.;;;;;;;;;;;;;;
0-آثارنا المنهوبة_25_p002_ff2d3dda;سيئة;;https://www.lot-art.com/auction-lots/Arabian-South-An/248-200-CE-100-CE-B-hood-08.10.24-south_Arabian-Inscription-with-Fragment-Figural-Stele-Alabaster;A mural.;The bottom of a mural, which highlights the lower half of a human body wearing a long dress, stands on a rectangular base with an unclear pedagogy, which is likely to be a person's name.;A marble stone.;About 200 before Miled-100 Miles.;6 1/4 in height times 5 in width times 1 5/8 in depth;LOT - ART;Bad.;;;;;;;;;;;;;;;
0-آثارنا المنهوبة_25_p003_85c68c3b;https://www.lot-art.com/auction/91322465/Price-Reserve-No-Figurine-Rider-with-Camel-catawiki-09.12.24-south_arabian;An animal statue.;A camel statue with a bronze rider, suffering from dirt cleavages.;Bronze.;;The length is 3.6 cm times the width is 1.17 cm times the height is 4 cm.;LOT - ART;Good.;;;;;;;;;;;;;;;;;
0-آثارنا المنهوبة_25_p004_6c0d0179;7.4 سم طول- 2 7/8 بوصة;LOT - ART;جيدة جدا;;https://www.lot-art.com/auction-lots/South-Arabian-Sabaean-Votive-Head-Terracotta-3rd-c-1st-BC/83-artemission25.2.25;The head of a human statue.;A human head of pottery (burned clay), with clear facial glimpses, with a prominent nose connected by eyebrows, underneath which are closed eyes, and lips with prominent lips, show on its surface simple, impenetrable holes as a result of the burning of mud-mixed hay.;Cream (burned mud);Around the third century to the first before the miles.;7.4 cm long- 2 7/8 inches;LOT - ART;Very good.;;;;;;;;;;;;;
