artifact_id;wb_txt_shrt;wb_txt_lg;looted_text
0-آثارنا المنهوبة_25_p020_e27076bd;Ancient Egyptian antiquities, including shabti, amulets, pottery, scarabs, and terracotta objects.;Ancient Egyptian antiquities, including shabti, amulets, pottery, scarabs, and terracotta objects. The source text describes a selection of antiquities from ancient Egypt, the Greek world, and Near Eastern civilizations, with an emphasis on Ancient Egyptian material. It refers generally to shabtis, amulets, pottery, scarabs, and terracotta statues, but provides no individual object details, dimensions, date, or technique beyond the typological categories named.;Earrings, gold. Pair of identical gold earrings with rings on both sides, small pieces attached to the rings by a small fragrance belt, and four small rings at the ends, with hanging elements shaped like bells.
0-آثارنا المنهوبة_25_p027_b022fb35;Carved stone idol/figure of pre-Islamic South Arabian type, possibly from Yemen, circa 2nd century B.C. to 2nd century A.D., with incised almond-shaped eyes, pupils and eyebrows, extended forearms, and tunic-style dress. Height 14.2 cm.;Carved stone idol/figure of pre-Islamic South Arabian type, possibly from Yemen, dated circa 2nd century B.C. to 2nd century A.D. The figure has incised almond-shaped eyes, pupils and eyebrows, extended forearms, and is depicted in a tunic-style dress. The object measures 14.2 cm in height.;Human statue, stone, fragmentary, with broken limbs. The figure is shown wearing a robe extending the full length of the body. The face is clearly defined, with a long nose, beard, two wandering eyebrows, and two eyes with jealous pupils. The description is incomplete in the source text.
0-آثارنا المنهوبة_25_p036_bea25d9f;Two South Arabian antiquities, Qataban, dated to the 3rd century B.C./1st century A.D., comprising the front of a bronze right foot and an alabaster clenched hand, both mounted on wood bases.;Two South Arabian antiquities from Qataban, dated to the 3rd century B.C./1st century A.D., comprising the front part of a bronze right foot and an alabaster clenched hand. The bronze foot is only partially preserved and has a thick layer of corrosion. The alabaster hand is missing most of the thumb and is chipped along the edges. Both objects are individually mounted on wood bases.;Sculptural fragments, bronze and marble stone: two pieces comprising the front of a bronze right foot and a marble stone hand. Third century BC. Dimensions: 6.5 cm and 6 cm.
0-آثارنا المنهوبة_25_p037_76bcbec5;Head, alabaster. Figural representation in alabaster, described as an example of a head from the kingdoms that created figural representations from alabaster and other stones. Dimensions: 5 in. W x 7.3 in. H (12.7 cm x 18.5 cm).;Head, alabaster. The object is described as an alabaster head and as an example of the figural representations produced by the people of these kingdoms from alabaster and other stones, including stele with high-relief faces honoring the deceased. It is recorded with the British Museum, museum number 141577. Dimensions are given as 5 in. wide by 7.3 in. high (12.7 cm x 18.5 cm).;Lot, art, dimensions 12.7 × 18.5.
0-آثارنا المنهوبة_25_p038_a303509a;Ceramic jar, South Arabian, 2nd century BC-2nd century AD. Jar with slightly flared rim and loop handles to the shoulders, decorated with bands of geometric painted ornament in black and red on a cream field.;Ceramic jar, South Arabian, 2nd century BC-2nd century AD. The vessel has a slightly flared rim and loop handles attached to the shoulders. It is decorated with bands of geometric painted ornament in black and red on a cream field. Provenance: private collection, South West London.;Jar, burned clay, with a slightly wide outward-flaring nozzle, puffed body, side handles, and decoration of geometric crawling triangles and by-lines painted in black and red.
0-آثارنا المنهوبة_25_p039_21a0fd74;Head, material not specified, with large ovoid eyes with impressed pupils, a narrow nose, pursed lips above a smooth chin, slightly bulging cheeks in front of a tapered mandible, and a shallow central indentation on the forehead. Dimensions: 5.375 in W x 7.9 in H (13.7 cm x 20.1 cm).;Head, material not specified, with large ovoid eyes with impressed pupils positioned on either side of a narrow nose. The face has pursed lips set above a smooth chin, slightly bulging cheeks in front of a tapered mandible, and a shallow indentation centered on the forehead. Dimensions are 5.375 in W x 7.9 in H (13.7 cm x 20.1 cm).;Object, material not specified. No descriptive information about the object is provided beyond the text “9 - 16 1.66 LOT - ART - 16 1.66 LOT - ART.”
0-آثارنا المنهوبة_25_p041_16bc353c;Head, alabaster, South Arabian art, late 1st millennium B.C. Masculine head with a triangular face, beard and moustache, large inlaid almond-shaped eyes, engraved eyebrows, straight nose, closed lips, and a long cylindrical neck. Height: 23.5 cm.;Head, alabaster, South Arabian art, late 1st millennium B.C. Masculine head with a triangular face, beard and moustache, large inlaid almond-shaped eyes, engraved eyebrows, a straight nose, closed lips, and a long cylindrical neck. The object is recorded with a height of 23.5 cm and provenance from the Collection Szerer, Paris.;Head of a human statue, marble, depicting a male head with a long neck and a partially preserved face. The eyes are indicated by drilled pupils, the nose is pierced, the eyebrows are arched and joined to the nose, the mouth is pierced, and the ears are preserved on both sides.
0-آثارنا المنهوبة_25_p043_e92bb9bc;"Statuette, cast bronze, of a camel with an erect head and neck, a slight hump, and a friendly face with large round eyes. Ancient South Arabia, Yemen; size 4 in. W x 3.55 in. H (10.2 cm x 9 cm).";Statuette, cast bronze, representing a camel with an erect head and neck, a slight hump, and a face with large round eyes. The object is described as from Ancient South Arabia, Yemen. Dimensions are given as 4 in. wide by 3.55 in. high (10.2 cm x 9 cm).;"Animal statue, bronze, depicting a camel with a hard head, a slight mid-back hump, and a strapped small tail behind the hind legs. Metal. Dimensions: 10.2 cm x 9 cm (4 x 3.55 in); additional measurement given as 3.9 in (9.9 cm). Early millennium BCE."
0-آثارنا المنهوبة_25_p044_1394a6c0;Standing figure, alabaster, South Arabian, 1st century B.C.–1st century A.D. Modelled in the round as a standing deity with textural hair detailing, naïve facial features, exaggerated eyes for inserts, a slit mouth, hands held out at the chest, one hand pierced to accept an attribute, and a knee-length garment with a collar or necklace below the throat.;Standing figure, alabaster, South Arabian, 1st century B.C.–1st century A.D. Modelled in the round as a standing deity. The figure has textural detailing to the hair, naïve facial features, exaggerated eyes intended to accept inserts, now absent, and a slit mouth. The hands are held out at the chest, with one hand pierced to accept an attribute. The figure wears a knee-length garment and has a collar or necklace below the throat.;Lot, material not specified. No further object description is provided in the source text.
0-آثارنا المنهوبة_25_p045_eaae26b1;Plaque, bronze. Rectangular Western Asiatic South Arabian plaque in fragments, with a raised border, rows of raised Nabatean text, and two fixing holes. Dated to the 2nd century BC-2nd century AD.;Plaque, bronze. Rectangular Western Asiatic South Arabian plaque preserved in fragments, with a raised border and rows of raised Nabatean text. The object has two fixing holes. It is dated to the 2nd century BC-2nd century AD.;"Pavilion, bronze, with a nine-line inscription and a composition featuring the stylized forms of a recumbent animal mediated by a palm tree; two holes are present in the upper corners."
