id,Title,Repatriated?,Year Returned,Sending Country,Receiving Country,Object Materials,Country of Origin,Description of Object(s),Object Type,Culture,Size,Findspot,Date Looted,Current Location,Dealer,Year Acquired,Museum Name
910,Triangular Support for a Candelabrum or Column with Reliefs,Yes,2006,USA,Italy,Marble,Italy,"Three-sided marble column fragment decorated on each panel with a relief showing three divinities walking to the left.  

The relief panels depict: Hermes with winged ankles, wearing a chlaina and a wreath; Dionysus in a long-sleeved tunic, holding a thyrsos and a drinking horn; and Artemis wearing a peplos and belted chiton and carrying a torch and a quiver on her back. The monument is damaged at the top, cutting off the goddess' head. (16 1/8 in.)","Sculpture – statues, carvings, bronzes, reliefs, figurines",Roman,3,,,Italy,Giacomo Medici,1992,"Museum of Fine Arts, Boston "
913,2 Canosan Volute Greek Kraters,Yes,2012,USA,Italy,Ceramic,Italy,A pair of Canosan volute kraters ,"Vessel – pots, amphorae, vases, kraters",Canosan Greek,2,"Apulia, Italy",,"Italy. Most recently exhibited at the National Museum of Castel Sant’ Angelo in Rome, May 21st to November 5th, 2013.",Robert Hecht | Giacomo Medici,1986,
916,A Bronze Figure of Zeus,Yes,2010,USA,Italy,Bronze,Italy,"This 11/16 inches tall bronze statuette depicts Zeus standing in a contrapposto pose with his right arm raised—likely once holding a thunderbolt or scepter, now missing. The figure is finely modeled, with defined musculature and stylized curls in the hair and beard, characteristic of Roman bronze workmanship influenced by earlier Greek prototypes. 
","Sculpture – statues, carvings, bronzes, reliefs, figurines",Late Hellenistic or Early Roman Imperial,2,,1980,National Roman Museum,Edward Merrin,,
917,Donkey Head Rhyton,Yes,2008,USA,Italy,Ceramic,Italy,"A donkey head- shaped conical rhyton, with an intact handle on the lower side of the body of the artifact. The rhyton probably served either as a drinking vessel or a container for libations that would have been used for ritual purposes. ","Vessel – pots, amphorae, vases, kraters",Roman,2,Unknown,Unknown,Italy,Robert Hecht | Giacomo Medici | Gianfranco Becchina | Bruce McNall,1977,Cleveland Museum of Art
920,Metope Group Red-Figure Krater,Yes,2012 ,USA,Italy,Ceramic,Italy,"This Apulian red-figure volute krater, measuring 79.38 × 50.17 × 43.18 cm is attributed to the Metope Group and exemplifies the red-figure pottery technique. The main scene features a youth standing within a naiskos, a small funerary shrine symbolizing the tomb, flanked by figures bearing offerings.  Finally, the composition is framed by decorative motifs such as palmettes and a meander pattern, which convey a solemn homage to the deceased,","Vessel – pots, amphorae, vases, kraters",Greece,2,Apulia,,Italy,Gianfranco Becchina,1996,Dallas Museum of Art
924,Asteas krater,Yes,2005,USA,Italy,Ceramic,Italy,"Calyx krater painted and signed by Asteas, depicting the Rape of Europa. ",Vessel,Greek,3,"Sant'Agata dei Goti, Campania, Italy",late 1970s,"National Archaeological Museum, Paestum, Italy",Gianfranco Becchina,1981,J. Paul Getty Museum
926,Statue of Sumerian King Entemena,Yes,2010,USA,Iraq,Stone | Diorite,Iraq,Headless stone statue of the Sumerian king Entemena of Lagash.,Sculpture,Sumerian,3,"The Iraq Museum, Baghdad",2003,"The Iraq Museum, Baghdad",Unknown,,
936,Attic Red-Figured Mask Kantharos,Yes,2007,USA,Italy,Terracotta,Italy,"An Attic red-figured mask kantharos depicting Dionysos, attributed to the Foundry Painter—one of the prominent vase painters of the early 5th century BC—based on stylistic analysis by Robert Guy. The potter is identified as Euphronios, a celebrated figure of the period known for his collaboration with leading painters and for his contributions to the development of red-figure technique.","Vessel – pots, amphorae, vases, kraters",Greek,2,,Before 1982,,Giacomo Medici | Robin Symes | Fritz Burki | Brian Aitken,"1985
1988
1996",J. Paul Getty Museum
939,Etruscan Candelabrum,Yes,2005,USA,Italy,Bronze,Italy,"The Etruscan bronze candelabrum is 44½ inches high.  At the base are four curving arms with terminals in the shape of stylized lotus buds which project from a slender, fluted shaft.  On top is a solid-cast figural group of a horse-tailed satyr with a youthful companion who is swathed in a mantle with a short tunic underneath. ","Lighting Device – lamps, candelabrum, lanterns",Etruscan,3,Vulci,,National Etruscan Museum - Villa Giulia,Robert Hecht | Fritz Bürki & Son,1990,J. Paul Getty Museum
942,Onesimos Kylix,Yes,1999,USA,Italy,Ceramic,Italy,"Attic red-figured kylix from 5th Century BCE, signed by potter Euphronios and painted with scenes of the Trojan War by Onesimos; reconstructed from fragments.",Vessel,Greek,2,San Antonio section of the Etruscan necropolis of Cerveteri,Unknown,"Museo Nazionale di Villa Giulia, Rome",Giacomo Medici | Frieda Tchacos | Christian Boursaud | Robert Hecht,1983 | 1985,J. Paul Getty Museum
945,Statue of Apollo,Yes,2007,USA,Italy,Marble,Italy,"Marble sculpture of Apollo.
Dimensions:  h 5 ft .",Sculpture,Greek,3,"Tomb, ruins of Orta Nova (Puglia, Italy)",1976 or 1977,Italy,Giacomo Medici | Robert Hecht | Robin Symes,1985,J. Paul Getty Museum
947,Statuette of Tyche,Yes,2007,USA,Italy,Marble,Italy,Marble statuette of the goddess Tyche,"Sculpture – statues, carvings, bronzes, reliefs, figurines",Greek,2,,,,Giacomo Medici  | Robin Symes,1996,J. Paul Getty Museum
951,Two Griffins Attacking a Fallen Doe,Yes,2007,USA,Italy,Marble,Italy,Greek marble trapezophoros showing two griffins attacking a fallen doe; dated circa 325-300 B.C. ,Sculpture,Greek,4,"Ascoli Satriano, Puglia, Italy",1976,"Museums of Ascoli Satriano, Italy",Giacomo Medici | Robin Symes | Robert Hecht | Christos Michaelides,1985,J. Paul Getty Museum
