artifact_id;pdf_name;page_num;link;text_for_matching;text_for_matching_web;price;currency;wb_txt_shrt;wb_txt_lg;pdf_upgrd_description;type;detail;material;iconography;period_general;period_precise
0-18_p001_593cd272;0-18.pdf;1;;;;;;;;;weapon;sword;bronze;lion;Late Antiquity;unknown
0-18_p001_669d467d;0-18.pdf;1;;;;;;;;;jewelry;ring;bronze;human;unknown;unknown
0-18_p002_6dd48f0e;0-18.pdf;2;;;;;;;;;jewelry;ring;marble;human;unknown;unknown
0-18_p002_ae943cdb;0-18.pdf;2;;;;;;;;;object;unknown;bronze;none;unknown;unknown
0-18_p003_84275417;0-18.pdf;3;;;;;;;;;jewelry;ring;gold;none;unknown;unknown
0-18_p003_fc5fac26;0-18.pdf;3;;;;;;;;;object;unknown;marble;none;Late Antiquity;unknown
0-18_p004_4f27afc0;0-18.pdf;4;;;;;;;;;sculpture;statue;limestone;human;unknown;unknown
0-18_p004_094231c0;0-18.pdf;4;;;;;;;;;object;unknown;marble;none;unknown;unknown
0-18_p005_c7e7b78a;0-18.pdf;5;;;;;;;;;object;unknown;marble;none;Late Antiquity;unknown
0-18_p005_2c734e86;0-18.pdf;5;;;;;;;;;object;unknown;marble;none;unknown;unknown
0-18_p006_c11d48c1;0-18.pdf;6;;;;;;;;;sculpture;head;limestone;none;unknown;unknown
0-18_p006_bb91182f;0-18.pdf;6;;;;;;;;;vessel;bowl;bronze;owl;unknown;unknown
0-18_p007_95827082;0-18.pdf;7;;;;;;;;;vessel;bowl;bronze;owl;unknown;unknown
0-18_p007_be9577b5;0-18.pdf;7;;;;;;;;;glyptic;bead;stone;none;unknown;unknown
0-18_p008_534e4431;0-18.pdf;8;;;;;;;;;currency;coin;unknown;human;Late Antiquity;unknown
0-25_p001_727222a7;0-25.pdf;1;https://www.lot-art.com/auction-lots/South_ArabianYemeni-fragment-finely-carved-stone-wit/526-sloane-25-2.5.0;;;;;;;;sculpture;head;stone;none;unknown;unknown
