artifact_id,pdf_name,page_num,image_name,image_path,centroid_x,centroid_y
0-آثارنا المنهوبة_18_p001_593cd272,0-آثارنا المنهوبة_18.pdf,1,0-آثارنا المنهوبة_18_p001_img007.png,,387.85,290.15
0-آثارنا المنهوبة_18_p001_593cd272,0-آثارنا المنهوبة_18.pdf,1,0-آثارنا المنهوبة_18_p001_img008.png,,206.52,289.9
0-آثارنا المنهوبة_18_p001_669d467d,0-آثارنا المنهوبة_18.pdf,1,0-آثارنا المنهوبة_18_p001_img005.png,,354.4,587.04
0-آثارنا المنهوبة_18_p001_669d467d,0-آثارنا المنهوبة_18.pdf,1,0-آثارنا المنهوبة_18_p001_img006.png,,217.49,586.8
0-آثارنا المنهوبة_18_p002_6dd48f0e,0-آثارنا المنهوبة_18.pdf,2,0-آثارنا المنهوبة_18_p002_img005.png,,377.27,554.29
0-آثارنا المنهوبة_18_p002_6dd48f0e,0-آثارنا المنهوبة_18.pdf,2,0-آثارنا المنهوبة_18_p002_img006.png,,217.61,554.39
0-آثارنا المنهوبة_18_p002_ae943cdb,0-آثارنا المنهوبة_18.pdf,2,0-آثارنا المنهوبة_18_p002_img007.png,,297.27,246.92
0-آثارنا المنهوبة_18_p003_84275417,0-آثارنا المنهوبة_18.pdf,3,0-آثارنا المنهوبة_18_p003_img005.png,,297.4,239.02
0-آثارنا المنهوبة_18_p003_fc5fac26,0-آثارنا المنهوبة_18.pdf,3,0-آثارنا المنهوبة_18_p003_img006.png,,399.4,561.82
0-آثارنا المنهوبة_18_p003_fc5fac26,0-آثارنا المنهوبة_18.pdf,3,0-آثارنا المنهوبة_18_p003_img007.png,,195.86,561.23
0-آثارنا المنهوبة_18_p004_4f27afc0,0-آثارنا المنهوبة_18.pdf,4,0-آثارنا المنهوبة_18_p004_img006.png,,297.11,266.1
0-آثارنا المنهوبة_18_p004_094231c0,0-آثارنا المنهوبة_18.pdf,4,0-آثارنا المنهوبة_18_p004_img005.png,,297.37,572.67
0-آثارنا المنهوبة_18_p005_c7e7b78a,0-آثارنا المنهوبة_18.pdf,5,0-آثارنا المنهوبة_18_p005_img005.png,,297.35,246.97
0-آثارنا المنهوبة_18_p005_2c734e86,0-آثارنا المنهوبة_18.pdf,5,0-آثارنا المنهوبة_18_p005_img006.png,,297.39,555.87
0-آثارنا المنهوبة_18_p006_c11d48c1,0-آثارنا المنهوبة_18.pdf,6,0-آثارنا المنهوبة_18_p006_img005.png,,297.36,262.75
0-آثارنا المنهوبة_18_p006_bb91182f,0-آثارنا المنهوبة_18.pdf,6,0-آثارنا المنهوبة_18_p006_img006.png,,297.4,587.57
0-آثارنا المنهوبة_18_p007_95827082,0-آثارنا المنهوبة_18.pdf,7,0-آثارنا المنهوبة_18_p007_img005.png,,297.4,264.88
0-آثارنا المنهوبة_18_p007_be9577b5,0-آثارنا المنهوبة_18.pdf,7,0-آثارنا المنهوبة_18_p007_img006.png,,297.39,588.57
0-آثارنا المنهوبة_18_p008_534e4431,0-آثارنا المنهوبة_18.pdf,8,0-آثارنا المنهوبة_18_p008_img005.png,,297.15,275.76
0-آثارنا المنهوبة_25_p001_727222a7,0-آثارنا المنهوبة_25.pdf,1,0-آثارنا المنهوبة_25_p001_img005.png,,300.98,309.36
0-آثارنا المنهوبة_25_p002_ff2d3dda,0-آثارنا المنهوبة_25.pdf,2,0-آثارنا المنهوبة_25_p002_img005.png,,291.99,272.27
0-آثارنا المنهوبة_25_p003_85c68c3b,0-آثارنا المنهوبة_25.pdf,3,0-آثارنا المنهوبة_25_p003_img005.png,,308.17,284.77
0-آثارنا المنهوبة_25_p004_6c0d0179,0-آثارنا المنهوبة_25.pdf,4,0-آثارنا المنهوبة_25_p004_img005.png,,304.5,269.8
0-آثارنا المنهوبة_25_p005_a9b6090a,0-آثارنا المنهوبة_25.pdf,5,0-آثارنا المنهوبة_25_p005_img005.png,,293.65,285.97
0-آثارنا المنهوبة_25_p006_1cdb6eb3,0-آثارنا المنهوبة_25.pdf,6,0-آثارنا المنهوبة_25_p006_img005.png,,290.62,280.37
0-آثارنا المنهوبة_25_p007_1c050a86,0-آثارنا المنهوبة_25.pdf,7,0-آثارنا المنهوبة_25_p007_img005.png,,307.03,281.72
0-آثارنا المنهوبة_25_p008_44540d03,0-آثارنا المنهوبة_25.pdf,8,0-آثارنا المنهوبة_25_p008_img005.png,,305.87,298.55
0-آثارنا المنهوبة_25_p009_2f2b0ce4,0-آثارنا المنهوبة_25.pdf,9,0-آثارنا المنهوبة_25_p009_img005.png,,301.62,274.7
0-آثارنا المنهوبة_25_p010_d9c89231,0-آثارنا المنهوبة_25.pdf,10,0-آثارنا المنهوبة_25_p010_img005.png,,288.18,296.25
0-آثارنا المنهوبة_25_p011_c592ae55,0-آثارنا المنهوبة_25.pdf,11,0-آثارنا المنهوبة_25_p011_img005.png,,288.0,310.82
0-آثارنا المنهوبة_25_p012_62aa0a39,0-آثارنا المنهوبة_25.pdf,12,0-آثارنا المنهوبة_25_p012_img005.png,,296.98,313.62
